Sr. No.,Component Name,EndPoint,Current Deployed-Version ,Deployed Branch,Deployed Date,Release notes URL
1,c2c_device_operations_api,https://perfreg1.c2c-test.qualcomm.com/device-regional/swagger-ui.html,4.0.0_2204050345,release_Q12022_4.0.0,05th April 2022,
2,c2c_dm_deviceprovisioningservice,https://perfreg1.c2c-test.qualcomm.com/device-provisioning-service/v1/swagger-ui.html,4.0.0_2204050637,release_Q12022_4.0,05th April 2022,
3,c2c_commcore_routeconfig_api,https://perfreg1.c2c-test.qualcomm.com/routeconfig/swagger-ui.html,4.0.0_2204050349,release_Q12022_4.0,05th April 2022,
5,c2c_commcore_c2drequest_api,https://perfreg1.c2c-test.qualcomm.com/c2drequest/swagger-ui.html,4.0.0_2204050350,release_Q12022_4.0,05th April 2022,
6,c2c_dm_devicerequestprocessor,https://perfreg1.c2c-test.qualcomm.com/device-request-processor/v1/swagger-ui.html,4.0.0_2204050352,release_Q12022_4.0,05th April 2022,
7,c2c_dm_deviceregistrationservice_regional,https://perfreg1.c2c-test.qualcomm.com/device-registration-service/v1/swagger-ui.html,4.0.0_2204050406,release_Q12022_4.0,05th April 2022,
8,c2c_base_configserver,https://perfreg1.c2c-test.qualcomm.com/configserver/,3.0.0_2204041354,release_Q12022_3.0.0,05th April 2022,
11,c2c_resilience_service_api,https://perfreg1.c2c-test.qualcomm.com/resilience-service/swagger-ui.html,2.0.0_2204050354,release_Q12022_2.0.0,05th April 2022,
12,c2c_command_control_api,http://perfreg1.c2c-test.qualcomm.com/command-service/swagger-ui.html,2.0.0_2204050419,"release_Q12022_2.0.0	",05th April 2022,
13,c2c_dm_chipset_api,http://perfreg1.c2c-test.qualcomm.com/chipsetapi/swagger-ui.html,3.0.0_2204050421,release_Q12022_4.0,05th April 2022,
14,c2c_license_management_c_api,http://perfreg1.c2c-test.qualcomm.com/lmsc/swagger-ui,2.0.0_2204050423,release_Q12022_4.0.,05th April 2022,
15,c2c_license_management_q_api,http://perfreg1.c2c-test.qualcomm.com/lmsq/swagger-ui,2.0.0_2204050427,release_Q12022_4.0,05th April 2022,
16,c2c_ota_db_operations_api,http://perfreg1.c2c-test.qualcomm.com/ota-db-api/swagger-ui.html,2.0.0_2204050430,"release_Q12022_2.0.0	",05th April 2022,
17,c2c_ota_service_api,http://perfreg1.c2c-test.qualcomm.com/ota-services/swagger-ui.html,3.0.0_2204050432,release_Q12022_3.0.0,05th April 2022,
18,c2c_partition_service_api,http://perfreg1.c2c-test.qualcomm.com/partition-service/swagger-ui.html,2.0.0_2204050434,release_Q12022_2.0.0,05th April 2022,
19,c2c_service_management_api,http://perfreg1.c2c-test.qualcomm.com/smp-server/swagger-ui,1.6_2204050331,release_C2C_1.0,05th April 2022,
20,c2c_service_management_ui,https://perf-smp-ui.c2c-test.qualcomm.com/ ,,release_C2C_1.0,05th April 2022,
21,c2c_vehicle_operations_api,http://perfreg1.c2c-test.qualcomm.com/vehicle/swagger-ui.html,4.0.0_2204050435,release_Q12022_4.0.0,05th April 2022,
22,smp_adapter_api,http://perfreg1.c2c-test.qualcomm.com/smp-adapter/swagger-ui.html,3.0.0_2204050436,release_Q12022_4.0,05th April 2022,
23,c2c_dm_telemetry_persistence_service,https://perfreg1.c2c-test.qualcomm.com/telemetry-persistence-service/v1/swagger-ui.html,1.0.0_2204051010,release_Q12022_1.0,05th April 2022,
24,c2c_dm_navigation_service, https://perfreg1.c2c-test.qualcomm.com/navigation-service/v1/,1.0.0_2204051012,release_Q12022_1.0,05th April 2022,
25,c2c_dm_telemetry_service,https://perfreg1.c2c-test.qualcomm.com//telemetry-service/v1/,1.0.0_2204051013,release_Q12022_1.0,05th April 2022,
26,c2c_dm_notificationservice,,1.0.0_2204051014,release_Q12022_1.0,05th April 2022,
27,c2c_dm_developer_dashboard,https://perfreg1.c2c-test.qualcomm.com/developer-dashboard/,,release_sprint12_1.2,06th April 2022,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
1,IOT,a2wmamsgqsa3iq-ats.iot.us-east-2.amazonaws.com,,,,
,,,,,,
,Databases,,,,,
1,PSQL,c2c-use2-perf-reg1-dm-rds-database-psql.cc7vzardqfqp.us-east-2.rds.amazonaws.com,,,,
2,MYSQL,c2c-use2-perf-reg1-dm-rds-database-mysql-v2.cc7vzardqfqp.us-east-2.rds.amazonaws.com,,,,
