Sr. No.,Component Name,EndPoint,Current Deployed-Version,Deployed Date,Deployed By, Branch Name,Type
1,c2c_device_global_operations_api,https://gbl.c2c-test.qualcomm.com/device-global/swagger-ui.html, 4.0.0_2202211615,21st Feb 2022,Abdul,release_Q12022_4.0.0,API
2,c2c_dm_certificatemanager,https://gbl.c2c-test.qualcomm.com/certificate-manager/v1/swagger-ui.html, 4.0.0_2202211714,21st Feb 2022,Geo,release_Q12022_4.0,API
3,c2c_dm_deviceprovisioningqueryservice,https://gbl.c2c-test.qualcomm.com/device-provisioning-query-service/v1/swagger-ui.html, 4.0.0_2202211716,21st Feb 2022,Geo,release_Q12022_4.0,API
4,c2c_commcore_routeconfig_api,https://gbl.c2c-test.qualcomm.com/routeconfig/swagger-ui.html, 4.0.0_2202211502,21st Feb 2022,Geo,release_Q12022_4.0,API
5,c2c_commcore_c2drequest_api,https://gbl.c2c-test.qualcomm.com/c2drequest/swagger-ui.html, 4.0.0_2202211502,21st Feb 2022,Geo,release_Q12022_4.0,API
6,c2c_dm_devicerequestprocessor,https://gbl.c2c-test.qualcomm.com/device-request-processor/v1/swagger-ui.html, 4.0.0_2202211714,21st Feb 2022,Geo,release_Q12022_4.0,API
7,c2c_dm_deviceregistrationservice,https://gbl.c2c-test.qualcomm.com/device-registration-service/v1/swagger-ui.html, 4.0.0_2202211715,21st Feb 2022,Geo,release_Q12022_4.0,API
8,c2c_base_configserver,https://gbl.c2c-test.qualcomm.com/configserver/, 3.0.0_2202211351,21st Feb 2022,Abdul,release_Q12022_3.0.0,API
9,c2c_resilience_service_api,https://gbl.c2c-test.qualcomm.com/resilience-service/swagger-ui.html, 2.0.0_2202211625,21st Feb 2022,Abdul,release_Q12022_2.0.0,API
10,c2c_base_cognito_token_generator,https://gbl.c2c-test.qualcomm.com/cognito-token/swagger-ui.html, 4.0.0_2202211416,21st Feb 2022,Abdul,release_Q12022_4.0.0,API
11,c2c_commcore_c2dsender_pro, , 4.0.0_2202211534,21st Feb 2022,Geo,release_Q12022_4.0,Processor
12,c2c_commcore_msgdispatcher_pro, , 4.0.0_2202211427,21st Feb 2022,Geo,release_Q12022_4.0,Processor
13,c2c_commcore_msgstorage_pro, , 4.0.0_2202211501,21st Feb 2022,Geo,release_Q12022_4.0,Processor
14,c2c_resilience_listener_pro, , 3.0.0_2202211620,21st Feb 2022,Abdul,release_Q12022_3.0.0,Processor
15,c2c_resilience_retry_pro, , 3.0.0_2202211623,21st Feb 2022,Abdul,release_Q12022_3.0.0,Processor
16,c2c_resilience_query_pro, , 3.0.0_2202211622,21st Feb 2022,Abdul,release_Q12022_3.0.0,Processor
11,c2c_commcore_c2dsender_pro, , 4.0.0_2202211534,21st Feb 2022,Geo,release_Q12022_4.0,Processor
12,c2c_commcore_msgdispatcher_pro, , 4.0.0_2202211427,21st Feb 2022,Geo,release_Q12022_4.0,Processor
13,c2c_commcore_msgstorage_pro, , 4.0.0_2202211501,21st Feb 2022,Geo,release_Q12022_4.0,Processor
14,c2c_resilience_listener_pro, , 3.0.0_2202211620,21st Feb 2022,Abdul,release_Q12022_3.0.0,Processor
15,c2c_resilience_retry_pro, , 3.0.0_2202211623,21st Feb 2022,Abdul,release_Q12022_3.0.0,Processor
16,c2c_resilience_query_pro, , 3.0.0_2202211622,21st Feb 2022,Abdul,release_Q12022_3.0.0,Processor
17,c2c_dm_common, , 4.0.0 , 21st Feb 2022,Geo,release_Q12022_4.0,Wrapper
18,c2c_base_common, , 4.0.0 , 21st Feb 2022,Abdul,release_Q12022_4.0.0,Wrapper
19,c2c_base_queue_intf, , 3.0.0 , 21st Feb 2022,Abdul,release_Q12022_3.0.0,Wrapper
20,c2c_base_queue_sqs_impl, , 4.0.0 , 21st Feb 2022,Abdul,release_Q12022_4.0.0,Wrapper
21,c2c_base_storage_service_intf, , 2.0.0 , 21st Feb 2022,Abdul,release_Q12022_2.0.0,Wrapper
22,c2c_base_storage_service_impl, , 2.0.0 , 21st Feb 2022,Abdul,release_Q12022_2.0.0,Wrapper
23,c2c_base_key_management_service_intf, , 2.0.0 , 21st Feb 2022,Abdul,release_Q12022_2.0.0,Wrapper
24,c2c_base_kms_aws_impl, , 2.0.0 , 21st Feb 2022,Abdul,release_Q12022_2.0.0,Wrapper
25,c2c_cognito_token_extraction_using_lambda, , 2.0.0 , 21st Feb 2022,Abdul,release_Q12022_2.0.0,Lamda
26,c2c-ota-common, , 3.0.0 , 21st Feb 2022,Abdul,release_Q12022_3.0.0,Wrapper
27,c2c_resilience_common, , 3.0.0 , 21st Feb 2022,Abdul,release_Q12022_3.0.0,Wrapper
28,c2c_resilience_client, , 2.0.0 , 21st Feb 2022,Abdul,release_Q12022_2.0.0,Wrapper
29,c2c_command_control_common, , 1.0.0 , 21st Feb 2022,Abdul,release_Q12022_1.0.0,Wrapper
30,c2c_base_iot_intf, , 4.0.0 , 21st Feb 2022,Geo,release_Q12022_4.0,Wrapper
31,c2c_base_iot_aws_impl, , 4.0.0 , 21st Feb 2022,Geo,release_Q12022_4.0,Wrapper
32,c2c_base_iot_mqtt_intf, , 3.0.0 , 21st Feb 2022,Geo,release_Q12022_4.0,Wrapper
33,c2c_base_iot_mqtt_aws_impl, , 3.0.0 , 21st Feb 2022,Geo,release_Q12022_4.0,Wrapper
34,c2c_base_stream_intf, , 3.0.0 , 21st Feb 2022,Geo,release_Q12022_4.0,Wrapper
35,c2c_base_stream_kinesis_impl, , 3.0.0 , 21st Feb 2022,Geo,release_Q12022_4.0,Wrapper
36,c2c_resilience_liquibase_project, , 2.0.0 , 21st Feb 2022,Geo,release_Q12022_2.0.0,Liquibase
36,c2c_dm_registration_service_db, , 4.0.0 , 21st Feb 2022,Geo,release_Q12022_4.0,Liquibase
37,c2c_dm_provision_query_service_db, , 4.0.0 , 21st Feb 2022,Geo,release_Q12022_4.0,Liquibase
38,c2c_commcore_routeconfig_db, , 4.0.0 , 21st Feb 2022,Geo,release_Q12022_4.0,Liquibase
39,c2c_commcore_msgstorage_db, , 4.0.0 , 21st Feb 2022,Geo,release_Q12022_4.0,Liquibase
,,,,,,,
,,,,,,,
,,,,,,,
1,IOT Component,a2wmamsgqsa3iq-ats.iot.us-west-1.amazonaws.com,,,,,
2,PostgreSQL,c2c-usw1-qa-gbl-dm-rds-database-psql.c94pkaqk5jgw.us-west-1.rds.amazonaws.com,,,,,
