Sr. No.,Component Name,EndPoint,Deployed Date,Deployed by,Version,Release notes URL
1,IoT Core Endpoint,avyq8mqx1md7m-ats.iot.us-east-1.amazonaws.com, , , , 
2,API Gateway,http://aac0a83c744354230bf96171f63c82cf-193117/, , , , 
3,Registration API Swagger,http://a16ba121ff6e2434ba36e7c9a8377a48-1600952958.us-west-1.elb.amazonaws.com:8080/, , , , 
4,Route API URL,<http://ac9f5b0a6a26b453ab814c1704ec690e-649278011.us-east-1.elb.amazonaws.com:8080/routeconfig/swagger-ui.html>{target=_blank}, , , develop br, 
5,C2D API URL,<http://a38c5e77663ee48bb964e29973ba2cd4-541508209.us-east-1.elb.amazonaws.com:8080/c2drequest/swagger-ui.html>{target=_blank}, , , develop br, 
6,Registration API,http://aac0a83c744354230bf96171f63c82cf-1931173464.us-east-1.elb.amazonaws.com:8080/, , , develop br, 
7,Registration Status API,http://aec2dcd58beca48589e0b1753e206316-225546208.us-east-1.elb.amazonaws.com:8080, , , develop br, 
8,Device APIs, , , , , 
9,Postgres DB,c2c-eus-dev-gbl-dm-rds-database.cwhhlpvisa4k.us-east-1.rds.amazonaws.com:5432, , , ,
10,c2c-base-cognito-token-generator-service,http://a3ab352e90c3f414da33a73fc106def0-1989003362.us-east-1.elb.amazonaws.com:8080,,,develop br,
11,c2c-base-configclient-service,http://a5ef7655961a340eb8b7a56693e1c919-1097455634.us-east-1.elb.amazonaws.com:8080,,,develop br,
12,c2c-base-configserver-service,http://a48f3dd9a6b714e08b546577c6629e14-143861061.us-east-1.elb.amazonaws.com:8888,,,develop br,
13,c2c-base-stream-msg-generator-matrix-service,http://aacfc983ec2aa4626ae9a428f532a8a8-1936488986.us-east-1.elb.amazonaws.com:8888,,,develop br,
14,c2c-base-stream-msg-generator-service,http://a9a541b0b001b447193123656f3ea836-1951893946.us-east-1.elb.amazonaws.com:8080,,,develop br,
15,c2c-commcore-c2dsender-pro-service,http://af19949dc4b15471c98bc1a89b17b3dd-1197247417.us-east-1.elb.amazonaws.com:8080     ,,,develop br,
16,c2c-commcore-msgdispatcher-pro-service,http://a620fce069bd7472d951462e66709f76-466269933.us-east-1.elb.amazonaws.com:8080      ,,,develop br,
17,c2c-commcore-msgstorage-pro-service,http://a18d2bf35ec4e4cd296f5d9e7c636abb-514280144.us-east-1.elb.amazonaws.com:8080      ,,,develop br,
18,c2c-device-global-operations-api-service,http://a0e5d844007524f72b98d500996d7d7c-842820767.us-east-1.elb.amazonaws.com:8080      ,,,develop br,
19,c2c-dm-certificatemanager-service,http://a6fc771420c364e5caa4b5d74fdec498-1547525990.us-east-1.elb.amazonaws.com:8080     ,,,develop br,
20,c2c-dm-devicerequestprocessor-service,http://ab72412b65db7419297c8adb5e3398d4-1615117018.us-east-1.elb.amazonaws.com:8080,,,develop br,
21,Primary endpoint of the Redis cluster (gbl),c2c-eus-dev-gbl-cc-d2c-redis-msg-disp.j5gi2z.ng.0001.use1.cache.amazonaws.com:6379,,,,
22,Reader endpoint of the Redis cluster (gbl),c2c-eus-dev-gbl-cc-d2c-redis-msg-disp-ro.j5gi2z.ng.0001.use1.cache.amazonaws.com:6379,,,,
