Sr. No.,Component Name,EndPoint,Current Deployed(image)-Version,Deployed Date,Deployed By , Branch Name
1,c2c_vehicle_operations_api,http://a6e478681a40b4754a38bf464a7b53be-831792400.us-west-2.elb.amazonaws.com:8080/vehicle/swagger-ui.html,4.0.0,9th Feb 2022,Abdul,release_Q12022_4.0.0
2,c2c_device_operations_api,http://a1d5b6ec1db0a49938c0cc2b88b30831-1282333804.us-west-2.elb.amazonaws.com:8080/device-regional/swagger-ui.html,4.0.0,9th Feb 2022,Abdul,release_Q12022_4.0.0
3,c2c_dm_deviceprovisioningservice,http://a83d4bff05834467abec8894afdd570d-418291933.us-west-2.elb.amazonaws.com:8080/device-provisioning-service/v1/swagger-ui.html,4.0.0,9th Feb 2022,Geo,release_Q12022_4.0
4,c2c_commcore_routeconfig_api,http://ac37bc92fdf2d4d178aff10045af6214-1159014806.us-west-2.elb.amazonaws.com:8080/routeconfig/swagger-ui.html,4.0.0,9th Feb 2022,Geo,release_Q12022_4.0
5,c2c_commcore_c2drequest_api,http://ab75c3b5253f144b9a21ad1ee948beb7-268246428.us-west-2.elb.amazonaws.com:8080/c2drequest/swagger-ui,4.0.0,9th Feb 2022,Geo,release_Q12022_4.0
6,c2c_dm_devicerequestprocessor,http://af6e41c5c6cb64b6896631a96f43cf81-1277755300.us-west-2.elb.amazonaws.com:8080//device-request-processor/v1/swagger-ui.html,4.0.0,9th Feb 2022,Geo,release_Q12022_4.0
7,c2c_dm_deviceregistrationservice-regional,http://ac0bb3236de854237832436dc16ba31a-1162578370.us-west-2.elb.amazonaws.com:8080/device-registration-service/v1/swagger-ui.html,4.0.0,9th Feb 2022,Geo,release_Q12022_4.0
8,c2c_dm_chipset_api,http://aeea69e39e2af443d97ed31224906c0a-335646622.us-west-2.elb.amazonaws.com:8080/chipsetapi/swagger-ui.html,3.0.0,9th Feb 2022,Geo,release_Q12022_4.0
9,c2c_dm_notificationservice,,0.3.0-SNAPSHOT,9th Feb 2022,Geo,release_sprint14_1.0
10,c2c_ota_service_api,http://ae040568d1f204f01876ae29a843120e-1418514094.us-west-2.elb.amazonaws.com:8080/ota-services/swagger-ui.html,3.0.0,9th Feb 2022,Abdul,release_Q12022_3.0.0
11,c2c_base_configserver,http://aa68d4fab957f4aec847d40fe1968373-1084770437.us-west-2.elb.amazonaws.com:8888/configserver/login,3.0.0,9th Feb 2022,Abdul,release_Q12022_3.0.0
12,smp_adapter_api,http://ae8bdb4338ba642cc9c19ac60b15c931-147342261.us-west-2.elb.amazonaws.com:8080/smp-adapter/swagger-ui.html,3.0.0,9th Feb 2022,Geo,release_Q12022_4.0
13,c2c_resilience_service-api,http://afdbd62b451c448ba8302255bb9fc8af-1763610836.us-west-2.elb.amazonaws.com:8080/resilience-service/swagger-ui.html,2.0.0,9th Feb 2022,Abdul,release_Q12022_2.0.0
14,c2c_command_control_api,http://ab1fdc49ff7074ff280e46813be3a455-281194641.us-west-2.elb.amazonaws.com:8080/command-service/swagger-ui.html,2.0.0,9th Feb 2022,Abdul,release_Q12022_2.0.0
15,c2c_service_management_api,http://ada46067a09314f3c8e2b5eec1ac2b11-347757140.us-west-2.elb.amazonaws.com:8080/smp-server/swagger-ui,1.6,9th Feb 2022,Abdul,release_Q12022_4.0
16,c2c_service_management_ui,http://ab82c9b426b6d4749906c304b0bc6fcb-1187694890.us-west-2.elb.amazonaws.com:8080/,1.6,9th Feb 2022,Abdul,release_Q12022_4.0
