Sr. No.,Component Name,EndPoint,Current Deployed-Version,Deployed Date,Deployed By, Branch Name
1,c2c_commcore_msgdispatcher_pro,,4.1.0-SNAPSHOT_2204271104,28th April 2022,Geo,release_sprint18_1.0
2,c2c_commcore_msgstorage_pro,,3.1.0-SNAPSHOT_2204271104,28th April 2022,Geo,release_sprint18_1.0
3,c2c_commcore_routeconfig_api,https://gbl.c2c-it.qualcomm.com/routeconfig/swagger-ui.html,4.1.0-SNAPSHOT_2204280810,28th April 2022,Geo,release_sprint18_1.0
4,c2c_commcore_c2drequest_api,https://gbl.c2c-it.qualcomm.com/c2drequest/swagger-ui.html,4.1.0-SNAPSHOT_2204271104,28th April 2022,Geo,release_sprint18_1.0
5,c2c_commcore_c2dsender_pro_v1,,3.1.0-SNAPSHOT_2204271104,28th April 2022,Geo,release_sprint18_1.0
6,c2c_commcore_c2dsender_pro_v2,,4.1.0-SNAPSHOT_2204271104,28th April 2022,Geo,release_sprint18_1.0
7,c2c_dm_devicerequestprocessor,https://gbl.c2c-it.qualcomm.com/device-request-processor/v1/swagger-ui.html,4.1.0-SNAPSHOT_2205020642,28th April 2022,Geo,release_sprint18_1.0
8,c2c_dm_deviceregistrationservice,https://gbl.c2c-it.qualcomm.com/device-registration-service/v1/swagger-ui.html,4.1.0-SNAPSHOT_2204271104,28th April 2022,Geo,release_sprint18_1.0
9,c2c_dm_certificatemanager,https://gbl.c2c-it.qualcomm.com/certificate-manager/v1/swagger-ui.html,4.1.0-SNAPSHOT_2204271107,28th April 2022,Geo,release_sprint18_1.0
10,c2c_dm_deviceprovisioningqueryservice,https://gbl.c2c-it.qualcomm.com/device-provisioning-query-service/v1/swagger-ui.html,4.1.0-SNAPSHOT_2204291043,28th April 2022,Geo,release_sprint18_1.0
11,c2c_device_global_operations_api,https://gbl.c2c-it.qualcomm.com/device-global/swagger-ui.html,3.1.0-SNAPSHOT_2204281220,28th April 2022,Geo,develop
12,c2c_base_configserver,https://gbl.c2c-it.qualcomm.com/configserver/,3.1.0-SNAPSHOT_2204281220,28th April 2022,Geo,develop
13,c2c_resilience_service_api,https://gbl.c2c-it.qualcomm.com/resilience-service/swagger-ui.html,2.1.0-SNAPSHOT_2204281220,28th April 2022,Geo,develop
14,c2c_base_cognito_token_generator,https://gbl.c2c-it.qualcomm.com/cognito-token/swagger-ui.html,3.1.0-SNAPSHOT_2204281220,28th April 2022,Geo,develop
15,c2c_resilience_listener_pro,,2.2.0-SNAPSHOT_2204281220,28th April 2022,Geo,develop
16,c2c_resilience_retry_pro,,2.2.0-SNAPSHOT_2204281220,28th April 2022,Geo,develop
17,c2c_resilience_query_pro,,2.2.0-SNAPSHOT_2204281220,28th April 2022,Geo,develop
18,c2c_dm_common,,4.1.0-SNAPSHOT,28th April 2022,Geo,release_sprint17_1.0
19,c2c_base_common,,4.2.0-SNAPSHOT,28th April 2022,Geo,release_sprint17_1.0
20,c2c_base_queue_intf,,2.2.0-SNAPSHOT,28th April 2022,Geo,develop
21,c2c_base_queue_sqs_impl,,3.1.0-SNAPSHOT,28th April 2022,Geo,develop
22,c2c_base_storage_service_intf,,1.1.0-SNAPSHOT,28th April 2022,Geo,develop
23,c2c_base_storage_service_impl,,1.1.0-SNAPSHOT,28th April 2022,Geo,develop
24,c2c_base_key_management_service_intf,,1.1.0-SNAPSHOT,28th April 2022,Geo,develop
25,c2c_base_kms_aws_impl,,1.2.0-SNAPSHOT,28th April 2022,Geo,develop
26,c2c_cognito_token_extraction_using_lambda,,3.1.0-SNAPSHOT,28th April 2022,Geo,develop
27,c2c-ota-common,,2.3.0-SNAPSHOT,28th April 2022,Geo,release_sprint18_1.0
28,c2c_resilience_common,,2.3.0-SNAPSHOT,28th April 2022,Geo,develop
29,c2c_resilience_client,,1.2.0-SNAPSHOT,28th April 2022,Geo,develop
30,c2c_command_control_common,,2.2.0-SNAPSHOT,28th April 2022,Geo, release_sprint18_1.0
31,c2c_base_iot_intf,,4.1.0-SNAPSHOT,28th April 2022,Geo,release_sprint18_1.0
32,c2c_base_iot_aws_impl,,4.1.0-SNAPSHOT,28th April 2022,Geo,release_sprint18_1.0
33,c2c_base_iot_mqtt_intf,,4.1.0-SNAPSHOT,28th April 2022,Geo,release_sprint18_1.0
34,c2c_base_iot_mqtt_aws_impl,,4.1.0-SNAPSHOT,28th April 2022,Geo,release_sprint18_1.0
35,c2c_base_stream_intf,,3.1.0-SNAPSHOT,28th April 2022,Geo,release_sprint18_1.0
36,c2c_base_stream_kinesis_impl,,3.1.0-SNAPSHOT,28th April 2022,Geo,release_sprint18_1.0
37,c2c_resilience_liquibase_project,,2.1.0-SNAPSHOT,28th April 2022,Geo,develop
38,c2c_dm_registration_service_db,,4.1.0-SNAPSHOT,28th April 2022,Geo,release_sprint18_1.0
39,c2c_dm_provision_query_service_db,,4.1.0-SNAPSHOT,28th April 2022,Geo,develop
40,c2c_commcore_routeconfig_db,,4.1.0-SNAPSHOT,28th April 2022,Geo,release_sprint18_1.0
41,c2c_commcore_msgstorage_db,,2.1.0-SNAPSHOT,28th April 2022,Geo,release_sprint18_1.0
,,,,,,
,,,,,,
,,,,,,
1,IOT Component,env.global.partition.iot.endpoint=am1ck51fe3zjt-ats.iot.us-west-1.amazonaws.com,,,,
2,PostgreSQL,c2c-usw1-intg-gbl-dm-rds-database-psql.cn6apzsumnfl.us-west-1.rds.amazonaws.com,,,,
