Sr. No.,Component Name,EndPoint,Deployed Current Version,Deployed Date,Release notes URL
1,c2c_vehicle_operations_api,https://perfreg3.c2c-stg.qualcomm.com/vehicle/swagger-ui.html,1.2.0-SNAPSHOT_2110050941,05th Oct 2021,
2,c2c_device_operations_api,https://perfreg3.c2c-stg.qualcomm.com/device-regional/swagger-ui.html,1.2.0-SNAPSHOT_2110050811,05th Oct 2021,
3,c2c_dm_deviceprovisioningservice,https://perfreg3.c2c-stg.qualcomm.com/device-provisioning-service/v1/swagger-ui.html,1.3.0-SNAPSHOT_2110050822,05th Oct 2021,
4,c2c_dm_locationtelemetryservice,https://perfreg3.c2c-stg.qualcomm.com/location-telemetry-service/v1/swagger-ui.html,1.2.0-SNAPSHOT_2110050827,05th Oct 2021,
5,c2c_commcore_routeconfig_api,https://perfreg3.c2c-stg.qualcomm.com/routeconfig/swagger-ui.html,1.2.0-SNAPSHOT_2110050800,05th Oct 2021,
6,c2c_commcore_c2drequest_api,https://perfreg3.c2c-stg.qualcomm.com/c2drequest/swagger-ui.html,1.2.0-SNAPSHOT_2110050747,05th Oct 2021,
7,c2c_base_configserver,https://perfreg3.c2c-stg.qualcomm.com/configserver/,1.0.1_2110051153,05th Oct 2021,
8,c2c_dm_devicerequestprocessor,https://perfreg3.c2c-stg.qualcomm.com/device-request-processor/v1/swagger-ui.html,1.3.0-SNAPSHOT_2110050806,05th Oct 2021,
9,c2c_dm_deviceregistrationservice_regional,https://perfreg3.c2c-stg.qualcomm.com/device-registration-service/v1/swagger-ui.html,1.3.0-SNAPSHOT_2110050858,05th Oct 2021,
10,c2c-dm-chipset-api-deployment,https://perfreg3.c2c-stg.qualcomm.com/chipsetapi/swagger-ui.html,0.2.0-SNAPSHOT_2110190951,19th Oct 2021,
11,c2c-dm-notificationservice-deployment,https://perfreg3.c2c-stg.qualcomm.com/device-notification-service/swagger-ui.html,0.0.1-SNAPSHOT_2110050923,05th Oct 2021,
12,c2c-ota-service-api-deployment,https://perfreg3.c2c-stg.qualcomm.com/ota-services/swagger-ui.html,0.1.0-SNAPSHOT_2110050843,05th Oct 2021,
13,c2c-service-management-request-api-deployment,https://perfreg3.c2c-stg.qualcomm.com/smp-request-api/swagger-ui.html,0.0.1-SNAPSHOT_2110050854,05th Oct 2021,
,,,,,
1,IOT,adtro3l5j3qew-ats.iot.us-east-2.amazonaws.com,,,
,,,,,
,Database,,,,
1,PSQL,c2c-use2-perf-reg3-dm-rds-database-psql.ctw535w67bou.us-east-2.rds.amazonaws.com,,,
2,MySQL,c2c-use2-perf-reg3-dm-rds-database-mysql-v2.ctw535w67bou.us-east-2.rds.amazonaws.com,,,
